Total Score: 1313
Date: 2025-04-24 03:48:15.072613
Word	Score	Definition
PUPAS	180	<pupa=n> [n]
PFUI	125	{phooey=interj} [interj]
TOADS	120	<toad=n> [n]
PUPA	112	an intermediate stage of a metamorphic insect [n -PAS or -PAE] : PUPAL ~adj
DAPS	98	<dap=v> [v]
PADS	98	<pad=v> [v]
TOAD	70	a tailless, jumping amphibian [n -S]
DAUT	70	to {fondle=v} [v -ED, -ING, -S]
PUG	66	to fill in with clay or mortar [v PUGGED, PUGGING, PUGS]
WIT	66	{intelligence=n} [n -S] / to {know=v} [v WIST, WITING or WITTING, present sing. 1st person, WOT, 2d, WOST, 3d, WOT, present pl., WITE]
PAD	66	to line or stuff with soft material [v PADDED, PADDING, PADS]
PUT	55	to place in a particular position [v PUT, PUTTING, PUTS]
SPA	55	a mineral spring [n -S]
ADS	44	<ad=n> [n]
ADO	44	bustling excitement [n ADOS]
SAD	44	{unhappy=adj} [adj SADDER, SADDEST]
